"hour","offshore","onshore","pv","river","lake","biogas","gas","nuclear","phs","battery","methanation","demand","Pump","ElecStr","CH4","elec_price","gas_price"
"0",10.43,36.38,0.00,5.04,0.00,0.00,0.00,0.00,9.30,2.12,0.00,60.89,0.00,0.00,-2.38,9.18,9.18
"1",10.61,37.53,0.00,4.70,0.00,0.00,0.00,0.00,2.59,10.04,0.00,63.09,0.00,0.00,-2.38,9.18,9.18
"2",10.61,38.25,0.00,4.52,0.00,0.00,0.00,0.00,9.30,3.17,0.00,63.47,0.00,0.00,-2.38,9.18,9.18
"3",10.53,38.50,0.00,4.34,0.00,0.00,0.00,0.00,9.30,1.06,0.00,61.35,0.00,0.00,-2.38,9.18,9.18
"4",10.27,38.30,0.00,4.13,0.00,0.00,0.00,0.00,7.54,0.00,0.00,57.86,0.00,0.00,-2.38,9.18,9.18
"5",10.04,38.48,0.00,4.05,0.00,0.00,0.00,0.00,5.26,0.00,0.00,55.45,0.00,0.00,-2.38,9.18,9.18
"6",9.90,38.60,0.00,3.93,0.00,0.00,0.00,0.00,4.32,0.00,0.00,54.37,0.00,0.00,-2.38,9.18,9.18
"7",9.75,38.70,0.16,3.64,0.00,0.00,0.00,0.00,3.68,0.00,0.00,53.56,0.00,0.00,-2.38,9.18,9.18
"8",9.72,38.28,2.45,3.63,0.00,0.00,0.00,0.00,1.79,0.00,0.00,53.49,0.00,0.00,-2.38,9.18,9.18
"9",9.60,36.56,6.34,3.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.17,-0.80,0.00,-2.38,7.85,7.85
"10",9.49,35.79,9.78,4.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.92,-1.78,0.00,-2.38,7.85,7.85
"11",9.53,36.70,11.19,4.08,0.00,0.00,0.00,4.67,0.00,0.00,0.00,56.61,-7.18,0.00,-2.38,7.85,7.85
"12",9.64,36.87,10.80,4.22,0.00,0.00,0.00,8.63,0.00,0.00,0.00,57.76,-9.30,-0.72,-2.38,7.85,7.85
"13",9.75,36.75,8.37,4.28,0.00,0.00,0.00,11.61,0.00,0.00,0.00,60.79,-7.59,0.00,-2.38,7.85,7.85
"14",9.87,36.35,4.95,3.93,0.00,0.00,0.00,13.83,0.00,0.00,0.00,58.33,-8.22,0.00,-2.38,7.85,7.85
"15",9.99,37.11,1.42,3.76,0.00,0.00,0.00,15.51,0.00,0.00,0.00,56.37,-9.05,0.00,-2.38,7.85,7.85
"16",10.10,37.71,0.00,3.71,0.00,0.00,0.00,16.76,0.00,0.00,0.00,55.65,-9.30,-0.95,-2.38,7.85,7.85
"17",10.14,37.75,0.00,3.66,0.00,0.00,0.00,17.70,0.00,0.00,0.00,56.72,-1.64,-8.50,-2.38,7.85,7.85
"18",10.08,37.17,0.00,4.15,0.00,0.00,0.00,18.41,0.00,0.00,0.00,61.81,0.00,-5.62,-2.38,7.85,7.85
"19",9.90,36.33,0.00,4.91,0.00,0.00,0.00,18.93,0.00,0.00,0.00,64.48,-3.22,0.00,-2.38,7.85,7.85
"20",9.70,34.92,0.00,5.21,0.00,0.00,0.00,19.33,0.00,0.00,0.00,64.69,-2.10,0.00,-2.38,7.85,7.85
"21",9.43,33.70,0.00,5.16,0.00,0.00,0.00,19.63,0.00,0.00,0.00,63.63,-1.91,0.00,-2.38,7.85,7.85
"22",9.07,32.74,0.00,5.15,0.00,0.00,0.00,19.85,0.00,0.00,0.00,61.05,0.00,-3.38,-2.38,7.85,7.85
"23",8.64,31.34,0.00,5.03,0.00,0.00,0.00,20.02,0.42,0.00,0.00,63.06,0.00,0.00,-2.38,44.49,44.49
