"hour","offshore","onshore","pv","river","lake","biogas","gas","nuclear","phs","battery","methanation","demand","Pump","ElecStr","CH4","elec_price","gas_price"
"0",10.42,36.54,0.00,5.04,0.00,0.00,0.00,11.29,0.00,0.00,0.00,60.89,0.00,0.00,-2.40,9.50,9.50
"1",10.60,37.70,0.00,4.70,0.00,0.00,0.00,12.49,0.00,0.00,0.00,63.09,0.00,0.00,-2.40,9.50,9.50
"2",10.60,38.42,0.00,4.52,0.00,0.00,0.00,12.33,0.00,0.00,0.00,63.47,0.00,0.00,-2.40,9.46,9.46
"3",10.52,38.68,0.00,4.34,0.00,0.00,0.00,6.17,0.00,4.05,0.00,61.35,0.00,0.00,-2.40,9.58,9.58
"4",10.26,38.48,0.00,4.13,0.00,0.00,0.00,7.40,0.00,0.00,0.00,57.86,0.00,0.00,-2.40,9.50,9.50
"5",10.03,38.66,0.00,4.05,0.00,0.00,0.00,4.34,0.00,0.78,0.00,55.45,0.00,0.00,-2.40,9.58,9.58
"6",9.89,38.77,0.00,3.93,0.00,0.00,0.00,2.17,0.45,1.56,0.00,54.37,0.00,0.00,-2.40,9.58,9.58
"7",9.74,38.88,0.16,3.64,0.00,0.00,0.00,1.08,2.45,0.00,0.00,53.56,0.00,0.00,-2.40,9.58,9.58
"8",9.71,38.46,2.47,3.63,0.00,0.00,0.00,0.54,0.00,1.08,0.00,53.49,0.00,0.00,-2.40,9.58,9.58
"9",9.59,36.72,6.40,3.86,0.00,0.00,0.00,0.27,0.00,0.00,0.00,53.17,-1.26,0.00,-2.40,8.19,8.19
"10",9.48,35.95,9.86,4.03,0.00,0.00,0.00,0.14,0.00,0.00,0.00,54.92,-2.14,0.00,-2.40,8.19,8.19
"11",9.52,36.86,11.29,4.08,0.00,0.00,0.00,0.07,0.00,0.00,0.00,56.61,0.00,-2.81,-2.40,8.19,8.19
"12",9.63,37.04,10.90,4.22,0.00,0.00,0.00,0.03,0.00,0.00,0.00,57.76,0.00,-1.66,-2.40,8.19,8.19
"13",9.74,36.91,8.44,4.28,0.00,0.00,0.00,3.80,0.00,0.00,0.00,60.79,0.00,0.00,-2.40,9.50,9.50
"14",9.86,36.51,4.99,3.93,0.00,0.00,0.00,5.44,0.00,0.00,0.00,58.33,0.00,0.00,-2.40,9.50,9.50
"15",9.98,37.28,1.43,3.76,0.00,0.00,0.00,6.31,0.00,0.00,0.00,56.37,0.00,0.00,-2.40,9.26,9.26
"16",10.09,37.88,0.00,3.71,0.00,0.00,0.00,3.16,3.21,0.00,0.00,55.65,0.00,0.00,-2.40,9.97,9.97
"17",10.13,37.92,0.00,3.66,0.00,0.00,0.00,7.41,0.00,0.00,0.00,56.72,0.00,0.00,-2.40,9.50,9.50
"18",10.07,37.34,0.00,4.15,0.00,0.00,0.00,12.85,0.00,0.00,0.00,61.81,-0.19,0.00,-2.40,8.53,8.53
"19",9.89,36.49,0.00,4.91,0.00,0.00,0.00,16.62,0.00,0.00,0.00,64.48,0.00,-1.03,-2.40,8.19,8.19
"20",9.69,35.08,0.00,5.21,0.00,0.00,0.00,18.50,0.00,0.00,0.00,64.69,0.00,-1.40,-2.40,8.19,8.19
"21",9.42,33.86,0.00,5.16,0.00,0.00,0.00,19.45,0.00,0.00,0.00,63.63,0.00,-1.85,-2.40,8.19,8.19
