"hour","offshore","onshore","pv","river","lake","biogas","gas","nuclear","phs","battery","methanation","demand","Pump","ElecStr","CH4","elec_price","gas_price"
"0",3.31,43.83,0.00,5.04,0.00,0.00,0.00,7.99,0.00,2.49,0.00,60.57,0.00,0.00,-2.09,9.50,9.50
"1",3.37,45.22,0.00,4.70,0.00,0.00,0.00,9.45,0.00,0.00,0.00,60.65,0.00,0.00,-2.09,9.50,9.50
"2",3.37,46.08,0.00,4.52,0.00,0.00,0.00,4.73,0.00,4.09,0.00,60.70,0.00,0.00,-2.09,9.50,9.50
"3",3.34,46.39,0.00,4.34,0.00,0.00,0.00,2.36,5.52,0.00,0.00,59.86,0.00,0.00,-2.09,9.50,9.50
"4",3.26,46.15,0.00,4.13,0.00,0.00,0.00,6.74,0.00,0.00,0.00,58.18,0.00,0.00,-2.09,9.50,9.50
"5",3.19,46.36,0.00,4.05,0.00,0.00,0.00,5.09,0.00,0.00,0.00,56.60,0.00,0.00,-2.09,9.50,9.50
"6",3.14,46.50,0.00,3.93,0.00,0.00,0.00,3.22,0.36,0.00,0.00,55.07,0.00,0.00,-2.09,9.50,9.50
"7",3.10,46.63,0.19,3.64,0.00,0.00,0.00,1.61,2.00,0.00,0.00,55.08,0.00,0.00,-2.09,9.50,9.50
"8",3.09,46.12,2.87,3.63,0.00,0.00,0.00,0.81,1.68,0.00,0.00,56.12,0.00,0.00,-2.09,9.50,9.50
"9",3.05,44.04,7.44,3.86,0.00,0.00,0.00,0.40,1.72,0.00,0.00,58.42,0.00,0.00,-2.09,9.50,9.50
"10",3.01,43.11,11.47,4.03,0.00,0.00,0.00,0.20,0.58,0.00,0.00,60.32,0.00,0.00,-2.09,9.50,9.50
"11",3.03,44.21,13.13,4.08,0.00,0.00,0.00,0.18,0.00,0.00,0.00,62.53,0.00,0.00,-2.09,9.50,9.50
"12",3.06,44.42,12.67,4.22,0.00,0.00,0.00,3.34,0.00,0.00,0.00,65.62,0.00,0.00,-2.09,9.50,9.50
"13",3.10,44.27,9.82,4.28,0.00,0.00,0.00,7.70,0.00,0.00,0.00,67.09,0.00,0.00,-2.09,9.50,9.50
"14",3.14,43.79,5.80,3.93,0.00,0.00,0.00,11.90,0.00,0.00,0.00,66.47,0.00,0.00,-2.09,9.50,9.50
"15",3.17,44.71,1.66,3.76,0.00,0.00,0.00,12.73,0.00,0.00,0.00,63.95,0.00,0.00,-2.09,9.50,9.50
"16",3.21,45.44,0.00,3.71,0.00,0.00,0.00,10.59,0.00,0.00,0.00,60.85,0.00,0.00,-2.09,9.50,9.50
"17",3.22,45.48,0.00,3.66,0.00,0.00,0.00,10.78,0.00,0.00,0.00,61.05,0.00,0.00,-2.09,9.50,9.50
"18",3.20,44.78,0.00,4.15,0.00,0.00,0.00,13.43,0.00,0.00,0.00,63.47,0.00,0.00,-2.09,9.29,9.29
"19",3.14,43.77,0.00,4.91,0.00,0.00,0.00,16.56,0.00,0.00,0.00,64.77,-1.52,0.00,-2.09,8.12,8.12
"20",3.08,42.07,0.00,5.21,0.00,0.00,0.00,18.12,0.00,0.00,0.00,63.05,-3.34,0.00,-2.09,8.12,8.12
"21",2.99,40.60,0.00,5.16,0.00,0.00,0.00,18.91,0.00,0.00,0.00,59.83,-1.97,-3.77,-2.09,8.12,8.12
"22",2.88,39.44,0.00,5.15,0.00,0.00,0.00,19.30,0.00,0.00,0.00,58.11,-6.57,0.00,-2.09,8.12,8.12
"23",2.74,37.75,0.00,5.03,0.00,0.00,0.00,19.49,0.00,0.00,0.00,59.00,0.00,-3.93,-2.09,8.12,8.12
"24",2.63,36.25,0.00,4.56,0.00,0.00,0.00,19.59,0.00,0.00,0.00,60.47,-0.47,0.00,-2.09,8.12,8.12
"25",2.55,35.30,0.00,3.79,0.00,0.00,0.00,19.64,0.00,0.00,0.00,60.33,0.00,0.00,-0.95,44.85,44.85
"26",2.46,34.42,0.00,3.27,0.00,0.00,0.88,19.66,0.00,0.00,0.88,60.69,0.00,0.00,0.00,174.33,174.33
"27",2.39,33.55,0.00,3.03,0.00,0.00,2.17,19.68,0.00,0.00,2.17,60.81,0.00,0.00,0.00,174.33,174.33
"28",2.30,33.38,0.00,3.00,0.00,2.62,2.62,19.68,0.00,0.00,0.00,60.99,0.00,0.00,0.00,174.33,174.33
"29",2.17,32.56,0.00,3.04,0.00,3.85,3.85,19.68,0.00,0.00,0.00,61.31,0.00,0.00,0.00,174.33,174.33
"30",1.99,30.71,0.00,3.12,0.00,0.00,6.32,19.69,0.00,0.00,6.32,61.83,0.00,0.00,0.00,174.33,174.33
"31",1.79,28.45,0.49,3.26,10.69,0.00,0.00,19.69,0.00,0.00,0.00,64.36,0.00,0.00,0.00,174.33,174.33
"32",1.55,24.87,4.87,3.49,0.00,12.70,12.70,19.69,0.00,0.00,0.00,67.17,0.00,0.00,0.00,174.33,174.33
"33",1.21,20.69,10.26,4.03,0.00,10.36,14.19,19.69,0.00,0.00,3.83,70.05,0.00,0.00,0.00,174.33,174.33
"34",0.87,19.18,15.98,4.50,0.00,10.94,10.94,19.69,0.00,0.00,0.00,71.17,0.00,0.00,0.00,174.33,174.33
"35",0.64,19.54,19.47,4.82,0.00,8.36,8.36,19.69,0.00,0.00,0.00,72.51,0.00,0.00,0.00,174.33,174.33
"36",0.50,19.69,20.10,5.22,0.00,9.39,9.39,19.69,0.00,0.00,0.00,74.59,0.00,0.00,0.00,174.33,174.33
"37",0.47,19.92,17.47,5.10,0.00,14.38,14.38,19.69,0.00,0.00,0.00,77.03,0.00,0.00,0.00,174.33,174.33
"38",0.48,19.61,12.50,4.63,1.92,18.23,18.23,19.69,0.00,0.00,0.00,77.06,0.00,0.00,0.00,174.33,174.33
"39",0.53,20.94,4.22,4.16,6.52,18.23,18.23,19.69,0.00,0.00,0.00,74.28,0.00,0.00,0.00,174.33,174.33
"40",0.53,22.14,0.02,4.30,5.81,18.23,18.23,19.69,0.00,0.00,0.00,70.70,0.00,0.00,0.00,174.33,174.33
"41",0.47,21.17,0.00,4.74,6.93,18.23,18.23,19.69,0.00,0.00,0.00,71.22,0.00,0.00,0.00,174.33,174.33
"42",0.38,18.90,0.00,5.30,11.55,18.23,18.23,19.69,0.00,0.00,0.00,74.05,0.00,0.00,0.00,174.33,174.33
"43",0.31,16.46,0.00,5.78,12.86,18.23,18.23,19.69,1.28,0.00,0.00,74.60,0.00,0.00,0.00,174.33,174.33
"44",0.26,14.38,0.00,5.68,12.19,0.00,18.23,19.69,0.00,0.00,18.23,70.43,0.00,0.00,0.00,174.33,174.33
"45",0.21,13.00,0.00,5.35,9.97,18.23,18.23,19.69,0.00,0.00,0.00,66.45,0.00,0.00,0.00,174.33,174.33
"46",0.17,12.15,0.00,5.16,9.19,0.00,18.23,19.69,0.00,0.00,18.23,64.58,0.00,0.00,0.00,174.33,174.33
"47",0.14,11.93,0.00,5.06,10.51,18.23,18.23,19.69,0.00,0.00,0.00,65.56,0.00,0.00,0.00,174.33,174.33
"48",0.14,12.04,0.00,4.82,11.70,18.23,18.23,19.69,0.00,0.00,0.00,66.61,0.00,0.00,0.00,174.33,174.33
