"hour","offshore","onshore","pv","river","lake","biogas","gas","nuclear","phs","battery","methanation","demand","Pump","ElecStr","CH4","elec_price","gas_price"
"0",0.00,59.42,0.00,5.04,0.00,0.00,0.00,0.00,0.00,0.03,0.00,60.57,0.00,0.00,-3.91,0.00,0.00
"1",0.00,61.30,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.65,0.00,0.00,-3.91,0.00,0.00
"2",0.00,62.47,0.00,4.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.70,0.00,0.00,-3.91,0.00,0.00
"3",0.00,62.88,0.00,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.86,0.00,0.00,-3.91,0.00,0.00
"4",0.00,62.56,0.00,4.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.18,0.00,0.00,-3.91,0.00,0.00
"5",0.00,62.85,0.00,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.60,0.00,0.00,-3.91,0.00,0.00
"6",0.00,63.04,0.00,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.07,0.00,0.00,-3.91,0.00,0.00
"7",0.00,63.21,0.27,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.08,0.00,0.00,-3.91,0.00,0.00
"8",0.00,62.52,4.16,3.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.12,0.00,0.00,-3.91,0.00,0.00
"9",0.00,59.71,10.77,3.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.42,0.00,0.00,-3.91,0.00,0.00
"10",0.00,58.44,16.60,4.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.32,0.00,-11.75,-3.91,0.00,0.00
"11",0.00,59.94,19.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.53,0.00,-13.53,-3.91,0.00,0.00
"12",0.00,60.22,18.34,4.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.62,0.00,0.00,-3.91,0.00,0.00
"13",0.00,60.02,14.21,4.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.09,0.00,0.00,-3.91,0.00,0.00
"14",0.00,59.37,8.40,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.47,0.00,0.00,-3.91,0.00,0.00
"15",0.00,60.61,2.41,3.76,0.00,0.00,0.00,0.00,0.00,1.08,0.00,63.95,0.00,0.00,-3.91,4.04,4.04
"16",0.00,61.59,0.00,3.71,0.00,0.00,0.00,0.00,0.30,0.00,0.00,60.85,0.00,-0.84,-3.91,3.45,3.45
"17",0.00,61.65,0.00,3.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.05,-0.35,0.00,-3.91,2.95,2.95
"18",0.00,60.71,0.00,4.15,0.00,0.00,0.00,0.00,2.53,0.00,0.00,63.47,0.00,0.00,-3.91,4.04,4.04
"19",0.00,59.33,0.00,4.91,0.00,0.00,0.00,0.00,4.44,0.00,0.00,64.77,0.00,0.00,-3.91,4.04,4.04
"20",0.00,57.03,0.00,5.21,0.00,0.00,0.00,2.80,1.92,0.00,0.00,63.05,0.00,0.00,-3.91,4.04,4.04
"21",0.00,55.04,0.00,5.16,0.00,0.00,0.00,6.58,0.00,0.00,0.00,59.83,-2.62,-0.42,-3.91,3.45,3.45
"22",0.00,53.46,0.00,5.15,0.00,0.00,0.00,8.47,0.00,0.00,0.00,58.11,-5.06,0.00,-3.91,3.45,3.45
"23",0.00,51.18,0.00,5.03,0.00,0.00,0.00,9.41,0.00,0.00,0.00,59.00,-2.71,0.00,-3.91,3.45,3.45
"24",0.00,49.14,0.00,4.56,0.00,0.00,0.00,9.89,0.00,0.00,0.00,60.47,0.00,0.00,-3.11,55.69,55.69
"25",0.00,47.86,0.00,3.79,0.00,0.00,0.00,10.12,0.00,0.00,0.00,60.33,0.00,0.00,-1.44,55.69,55.69
"26",0.00,46.66,0.00,3.27,0.52,0.00,0.00,10.24,0.00,0.00,0.00,60.69,0.00,0.00,0.00,215.16,215.16
"27",0.00,45.47,0.00,3.03,2.01,0.00,0.00,10.30,0.00,0.00,0.00,60.81,0.00,0.00,0.00,215.16,215.16
"28",0.00,45.25,0.00,3.00,0.00,2.40,2.40,10.33,0.00,0.00,0.00,60.99,0.00,0.00,0.00,215.16,215.16
"29",0.00,44.14,0.00,3.04,0.00,3.79,3.79,10.34,0.00,0.00,0.00,61.31,0.00,0.00,0.00,215.16,215.16
"30",0.00,41.63,0.00,3.12,6.43,0.00,0.30,10.35,0.00,0.00,0.30,61.83,0.00,0.00,0.00,215.16,215.16
"31",0.00,38.57,0.71,3.26,11.47,0.00,0.00,10.35,0.00,0.00,0.00,64.36,0.00,0.00,0.00,215.16,215.16
"32",0.00,33.71,7.04,3.49,0.00,12.56,12.56,10.36,0.00,0.00,0.00,67.17,0.00,0.00,0.00,215.16,215.16
"33",0.00,28.04,14.84,4.03,0.00,0.00,12.78,10.36,0.00,0.00,12.78,70.05,0.00,0.00,0.00,215.16,215.16
"34",0.00,26.00,23.13,4.50,0.00,7.17,7.17,10.36,0.00,0.00,0.00,71.17,0.00,0.00,0.00,215.16,215.16
"35",0.00,26.48,28.18,4.82,0.00,2.67,2.67,10.36,0.00,0.00,0.00,72.51,0.00,0.00,0.00,215.16,215.16
"36",0.00,26.69,29.09,5.22,0.00,3.23,3.23,10.36,0.00,0.00,0.00,74.59,0.00,0.00,0.00,215.16,215.16
"37",0.00,27.00,25.29,5.10,0.00,9.28,9.28,10.36,0.00,0.00,0.00,77.03,0.00,0.00,0.00,215.16,215.16
"38",0.00,26.59,18.09,4.63,0.00,17.40,17.40,10.36,0.00,0.00,0.00,77.06,0.00,0.00,0.00,215.16,215.16
"39",0.00,28.39,6.11,4.16,3.20,22.06,22.06,10.36,0.00,0.00,0.00,74.28,0.00,0.00,0.00,215.16,215.16
"40",0.00,30.01,0.03,4.30,6.33,19.68,19.68,10.36,0.00,0.00,0.00,70.70,0.00,0.00,0.00,215.16,215.16
"41",0.00,28.70,0.00,4.74,5.37,22.06,22.06,10.36,0.00,0.00,0.00,71.22,0.00,0.00,0.00,215.16,215.16
"42",0.00,25.63,0.00,5.30,10.70,22.06,22.06,10.36,0.00,0.00,0.00,74.05,0.00,0.00,0.00,215.16,215.16
"43",0.00,22.31,0.00,5.78,12.86,22.06,22.06,10.36,1.22,0.00,0.00,74.60,0.00,0.00,0.00,215.16,215.16
"44",0.00,19.49,0.00,5.68,12.86,0.00,22.04,10.36,0.00,0.00,22.04,70.43,0.00,0.00,0.00,215.16,215.16
"45",0.00,17.63,0.00,5.35,11.05,22.06,22.06,10.36,0.00,0.00,0.00,66.45,0.00,0.00,0.00,215.16,215.16
"46",0.00,16.47,0.00,5.16,12.86,0.00,18.68,10.36,1.06,0.00,18.68,64.58,0.00,0.00,0.00,215.16,215.16
"47",0.00,16.17,0.00,5.06,12.86,0.00,21.12,10.36,0.00,0.00,21.12,65.56,0.00,0.00,0.00,215.16,215.16
"48",0.00,16.32,0.00,4.82,12.86,4.37,22.06,10.36,0.19,0.00,17.69,66.61,0.00,0.00,0.00,215.16,215.16
"49",0.00,16.40,0.00,4.71,12.86,22.06,22.06,10.36,0.43,0.00,0.00,66.82,0.00,0.00,0.00,215.16,215.16
"50",0.00,16.21,0.00,4.25,12.86,22.06,22.06,10.36,1.25,0.00,0.00,66.99,0.00,0.00,0.00,215.16,215.16
