"hour","offshore","onshore","pv","river","lake","biogas","gas","nuclear","phs","battery","methanation","demand","Pump","ElecStr","CH4","elec_price","gas_price"
"0",9.17,61.40,0.00,5.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.57,-7.66,0.00,-6.17,0.00,0.00
"1",9.32,63.35,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.65,-9.30,0.00,-6.17,0.00,0.00
"2",9.32,64.56,0.00,4.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.70,0.00,0.00,-6.17,0.00,0.00
"3",9.25,64.99,0.00,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.86,-9.30,0.00,-6.17,0.00,0.00
"4",9.03,64.65,0.00,4.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.18,-9.30,0.00,-6.17,0.00,0.00
"5",8.82,64.95,0.00,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.60,-9.30,0.00,-6.17,0.00,0.00
"6",8.69,65.15,0.00,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.07,0.00,0.00,-6.17,0.00,0.00
"7",8.56,65.32,0.40,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.08,-9.30,0.00,-6.17,0.00,0.00
"8",8.54,64.62,5.99,3.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.12,-9.30,0.00,-6.17,0.00,0.00
"9",8.43,61.70,15.52,3.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.42,-9.30,0.00,-6.17,0.00,0.00
"10",8.33,60.40,23.93,4.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.32,-9.30,-19.14,-6.17,0.00,0.00
"11",8.38,61.94,27.39,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.53,-9.30,-19.14,-6.17,0.00,0.00
"12",8.47,62.23,26.43,4.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.62,-9.30,-19.14,-6.17,0.00,0.00
"13",8.57,62.02,20.48,4.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.09,-2.97,-19.14,-6.17,0.00,0.00
"14",8.67,61.35,12.11,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.47,0.00,-13.42,-6.17,0.00,0.00
"15",8.78,62.64,3.47,3.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.95,-8.53,0.00,-6.17,0.00,0.00
"16",8.87,63.65,0.00,3.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.85,-9.21,0.00,-6.17,0.00,0.00
"17",8.91,63.71,0.00,3.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.05,-8.94,-0.12,-6.17,0.00,0.00
"18",8.86,62.74,0.00,4.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.47,-6.10,0.00,-6.17,0.00,0.00
"19",8.70,61.31,0.00,4.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.77,-3.99,0.00,-6.17,0.00,0.00
"20",8.52,58.94,0.00,5.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.05,-3.45,0.00,-6.17,0.00,0.00
"21",8.28,56.89,0.00,5.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.83,-4.33,0.00,-6.17,0.00,0.00
"22",7.97,55.25,0.00,5.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.11,-4.09,0.00,-6.17,0.00,0.00
"23",7.59,52.89,0.00,5.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,-0.34,-6.17,0.00,0.00
"24",7.28,50.78,0.00,4.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.47,0.00,0.00,-2.16,59.84,59.84
"25",7.05,49.46,0.00,3.79,0.00,0.00,0.00,0.00,0.03,0.00,0.00,60.33,0.00,0.00,0.00,230.80,230.80
"26",6.80,48.23,0.00,3.27,0.00,0.00,0.00,0.00,0.00,2.40,0.00,60.69,0.00,0.00,0.00,230.80,230.80
"27",6.61,47.00,0.00,3.03,0.00,0.00,4.18,0.00,0.00,0.00,4.18,60.81,0.00,0.00,0.00,230.80,230.80
"28",6.36,46.77,0.00,3.00,0.00,0.00,0.00,0.00,0.00,4.85,0.00,60.99,0.00,0.00,0.00,230.80,230.80
"29",6.01,45.62,0.00,3.04,0.00,6.65,6.65,0.00,0.00,0.00,0.00,61.31,0.00,0.00,0.00,230.80,230.80
"30",5.52,43.02,0.00,3.12,0.00,0.00,10.17,0.00,0.00,0.00,10.17,61.83,0.00,0.00,0.00,230.80,230.80
"31",4.94,39.86,1.03,3.26,0.00,15.28,15.28,0.00,0.00,0.00,0.00,64.36,0.00,0.00,0.00,230.80,230.80
"32",4.28,34.84,10.15,3.49,0.00,0.00,0.00,0.00,0.00,14.40,0.00,67.17,0.00,0.00,0.00,230.80,230.80
"33",3.34,28.98,21.40,4.03,0.00,0.00,0.00,0.00,3.20,9.11,0.00,70.05,0.00,0.00,0.00,230.80,230.80
"34",2.40,26.87,33.35,4.50,0.00,4.04,4.04,0.00,0.00,0.00,0.00,71.17,0.00,0.00,0.00,230.80,230.80
"35",1.77,27.37,40.62,4.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.51,-2.06,0.00,0.00,197.33,197.33
"36",1.39,27.59,41.93,5.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.59,-1.54,0.00,0.00,197.33,197.33
"37",1.30,27.90,36.45,5.10,0.00,6.27,6.27,0.00,0.00,0.00,0.00,77.03,0.00,0.00,0.00,230.80,230.80
"38",1.34,27.48,26.07,4.63,0.00,0.00,17.54,0.00,0.00,0.00,17.54,77.06,0.00,0.00,0.00,230.80,230.80
"39",1.45,29.34,8.81,4.16,2.75,0.00,27.77,0.00,0.00,0.00,27.77,74.28,0.00,0.00,0.00,230.80,230.80
"40",1.46,31.01,0.04,4.30,6.13,0.00,27.77,0.00,0.00,0.00,27.77,70.70,0.00,0.00,0.00,230.80,230.80
"41",1.29,29.66,0.00,4.74,0.00,27.77,27.77,0.00,0.00,7.77,0.00,71.22,0.00,0.00,0.00,230.80,230.80
"42",1.05,26.48,0.00,5.30,0.00,27.77,27.77,0.00,0.00,13.45,0.00,74.05,0.00,0.00,0.00,230.80,230.80
"43",0.85,23.06,0.00,5.78,0.00,27.77,27.77,0.00,9.30,7.84,0.00,74.60,0.00,0.00,0.00,230.80,230.80
"44",0.72,20.15,0.00,5.68,12.86,0.00,27.77,0.00,0.00,3.26,27.77,70.43,0.00,0.00,0.00,230.80,230.80
"45",0.59,18.22,0.00,5.35,12.86,0.00,27.77,0.00,1.67,0.00,27.77,66.45,0.00,0.00,0.00,230.80,230.80
"46",0.46,17.02,0.00,5.16,12.86,0.00,27.77,0.00,1.32,0.00,27.77,64.58,0.00,0.00,0.00,230.80,230.80
"47",0.40,16.71,0.00,5.06,12.86,0.00,27.77,0.00,2.77,0.00,27.77,65.56,0.00,0.00,0.00,230.80,230.80
"48",0.39,16.87,0.00,4.82,12.86,0.00,27.77,0.00,3.92,0.00,27.77,66.61,0.00,0.00,0.00,230.80,230.80
"49",0.41,16.95,0.00,4.71,12.86,0.00,27.77,0.00,4.13,0.00,27.77,66.82,0.00,0.00,0.00,230.80,230.80
"50",0.48,16.75,0.00,4.25,12.86,0.00,27.77,0.00,4.89,0.00,27.77,66.99,0.00,0.00,0.00,230.80,230.80
"51",0.68,16.66,0.00,3.98,8.30,0.00,27.77,0.00,9.30,0.00,27.77,66.69,0.00,0.00,0.00,230.80,230.80
"52",0.86,16.94,0.00,3.56,8.06,0.00,27.77,0.00,9.30,0.00,27.77,66.49,0.00,0.00,0.00,230.80,230.80
"53",0.83,17.12,0.00,3.36,8.76,0.00,27.77,0.00,9.30,0.00,27.77,67.14,0.00,0.00,0.00,230.80,230.80
"54",0.80,17.11,0.00,3.30,12.86,0.00,27.77,0.00,0.00,7.13,27.77,68.97,0.00,0.00,0.00,230.80,230.80
"55",0.90,17.37,1.89,3.36,12.64,0.00,27.77,0.00,9.30,0.00,27.77,73.22,0.00,0.00,0.00,230.80,230.80
"56",1.02,16.82,15.12,3.80,12.86,25.59,25.59,0.00,0.00,0.00,0.00,75.20,0.00,0.00,0.00,230.80,230.80
"57",1.14,15.93,29.71,4.23,0.00,25.41,25.41,0.00,0.00,0.00,0.00,76.42,0.00,0.00,0.00,230.80,230.80
"58",1.25,16.57,40.31,4.76,0.00,13.56,13.56,0.00,0.00,0.00,0.00,76.45,0.00,0.00,0.00,230.80,230.80
"59",1.51,17.48,45.90,4.98,0.00,6.92,6.92,0.00,0.00,0.00,0.00,76.79,0.00,0.00,0.00,230.80,230.80
"60",1.81,18.44,45.53,4.93,0.00,7.13,7.13,0.00,0.00,0.00,0.00,77.83,0.00,0.00,0.00,230.80,230.80
"61",2.03,19.05,39.04,4.98,0.00,14.90,14.90,0.00,0.00,0.00,0.00,79.99,0.00,0.00,0.00,230.80,230.80
"62",2.30,19.48,26.03,4.44,0.00,27.39,27.39,0.00,0.00,0.00,0.00,79.65,0.00,0.00,0.00,230.80,230.80
"63",2.84,21.79,8.83,3.98,11.90,0.00,27.77,0.00,0.00,0.00,27.77,77.11,0.00,0.00,0.00,230.80,230.80
"64",3.35,24.10,0.05,3.64,12.86,0.00,27.77,0.00,1.96,0.00,27.77,73.73,0.00,0.00,0.00,230.80,230.80
"65",3.65,25.05,0.00,4.00,12.86,22.52,22.52,0.00,6.42,0.00,0.00,74.49,0.00,0.00,0.00,230.80,230.80
"66",3.79,25.77,0.00,4.54,12.86,21.66,21.66,0.00,9.30,0.00,0.00,77.91,0.00,0.00,0.00,230.80,230.80
"67",3.81,26.27,0.00,5.41,12.86,10.98,27.77,0.00,1.76,0.00,16.78,77.87,0.00,0.00,0.00,230.80,230.80
"68",3.72,26.32,0.00,5.28,10.14,0.00,27.77,0.00,0.00,0.00,27.77,73.22,0.00,0.00,0.00,230.80,230.80
"69",3.36,26.27,0.00,4.88,6.62,27.77,27.77,0.00,0.00,0.00,0.00,68.91,0.00,0.00,0.00,230.80,230.80
"70",2.95,25.94,0.00,4.92,12.86,20.01,20.01,0.00,0.00,0.00,0.00,66.68,0.00,0.00,0.00,230.80,230.80
"71",2.67,25.42,0.00,5.06,6.53,27.77,27.77,0.00,0.00,0.00,0.00,67.44,0.00,0.00,0.00,230.80,230.80
"72",2.66,24.13,0.00,4.66,7.97,27.77,27.77,0.00,0.00,0.00,0.00,67.18,0.00,0.00,0.00,230.80,230.80
"73",2.94,23.00,0.00,4.45,12.86,24.05,24.05,0.00,0.00,0.00,0.00,67.28,0.00,0.00,0.00,230.80,230.80
"74",3.34,22.14,0.00,4.15,12.86,24.88,24.88,0.00,0.00,0.00,0.00,67.38,0.00,0.00,0.00,230.80,230.80
"75",3.95,22.00,0.00,3.85,9.96,27.77,27.77,0.00,0.00,0.00,0.00,67.52,0.00,0.00,0.00,230.80,230.80
"76",4.53,23.37,0.00,3.66,12.86,23.07,23.07,0.00,0.00,0.00,0.00,67.48,0.00,0.00,0.00,230.80,230.80
"77",5.05,25.71,0.00,3.68,5.81,27.77,27.77,0.00,0.00,0.00,0.00,68.01,0.00,0.00,0.00,230.80,230.80
"78",5.53,28.19,0.00,3.75,4.35,27.77,27.77,0.00,0.00,0.00,0.00,69.59,0.00,0.00,0.00,230.80,230.80
"79",5.90,31.13,1.87,3.93,12.86,17.65,17.65,0.00,0.00,0.00,0.00,73.33,0.00,0.00,0.00,230.80,230.80
"80",6.16,32.48,13.62,4.22,0.00,18.73,18.73,0.00,0.00,0.00,0.00,75.21,0.00,0.00,0.00,230.80,230.80
"81",6.01,31.18,26.68,4.45,0.00,8.05,8.05,0.00,0.00,0.00,0.00,76.37,0.00,0.00,0.00,230.80,230.80
"82",5.75,31.23,35.87,4.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.40,-1.22,0.00,0.00,197.33,197.33
"83",5.72,31.25,40.03,5.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.86,-5.36,0.00,0.00,197.33,197.33
"84",5.87,30.65,39.05,5.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.46,-3.56,0.00,0.00,197.33,197.33
"85",6.10,30.33,33.35,5.49,0.00,0.00,4.43,0.00,0.00,0.00,4.43,79.70,0.00,0.00,0.00,230.80,230.80
"86",6.25,29.97,22.79,5.21,0.00,15.03,15.03,0.00,0.00,0.00,0.00,79.25,0.00,0.00,0.00,230.80,230.80
"87",6.61,36.05,7.91,5.09,0.00,20.97,20.97,0.00,0.00,0.00,0.00,76.64,0.00,0.00,0.00,230.80,230.80
"88",7.06,46.44,0.01,4.99,0.00,15.09,15.09,0.00,0.00,0.00,0.00,73.60,0.00,0.00,0.00,230.80,230.80
"89",7.24,50.66,0.00,5.16,0.00,0.00,11.34,0.00,0.00,0.00,11.34,74.39,0.00,0.00,0.00,230.80,230.80
"90",7.23,50.62,0.00,5.66,0.00,14.24,14.24,0.00,0.00,0.00,0.00,77.76,0.00,0.00,0.00,230.80,230.80
"91",7.06,47.55,0.00,6.14,0.00,16.88,16.88,0.00,0.00,0.00,0.00,77.63,0.00,0.00,0.00,230.80,230.80
"92",6.86,44.19,0.00,6.09,0.00,16.04,16.04,0.00,0.00,0.00,0.00,73.18,0.00,0.00,0.00,230.80,230.80
"93",6.55,39.17,0.00,5.88,0.00,0.00,17.27,0.00,0.00,0.00,17.27,68.87,0.00,0.00,0.00,230.80,230.80
"94",6.26,35.04,0.00,5.79,0.00,0.00,19.15,0.00,0.00,0.00,19.15,66.24,0.00,0.00,0.00,230.80,230.80
"95",5.96,32.28,0.00,5.92,0.00,22.18,22.18,0.00,0.00,0.00,0.00,66.34,0.00,0.00,0.00,230.80,230.80
"96",5.63,31.75,0.00,5.93,0.00,0.00,23.86,0.00,0.00,0.00,23.86,67.16,0.00,0.00,0.00,230.80,230.80
"97",5.44,32.05,0.00,5.72,0.00,0.00,24.08,0.00,0.00,0.00,24.08,67.28,0.00,0.00,0.00,230.80,230.80
"98",5.38,33.36,0.00,5.48,0.00,0.00,23.54,0.00,0.00,0.00,23.54,67.76,0.00,0.00,0.00,230.80,230.80
"99",5.36,33.26,0.00,5.46,0.00,0.00,23.50,0.00,0.00,0.00,23.50,67.58,0.00,0.00,0.00,230.80,230.80
"100",5.41,33.86,0.00,5.31,0.00,0.00,22.77,0.00,0.00,0.00,22.77,67.36,0.00,0.00,0.00,230.80,230.80
"101",5.47,33.91,0.00,5.28,0.00,0.00,22.91,0.00,0.00,0.00,22.91,67.57,0.00,0.00,0.00,230.80,230.80
"102",5.54,33.86,0.00,5.33,0.00,0.00,23.41,0.00,0.00,0.00,23.41,68.14,0.00,0.00,0.00,230.80,230.80
"103",5.68,33.74,1.19,5.71,0.00,0.00,24.97,0.00,0.00,0.00,24.97,71.29,0.00,0.00,0.00,230.80,230.80
"104",5.76,32.32,11.05,6.21,0.00,0.00,18.04,0.00,0.00,0.00,18.04,73.37,0.00,0.00,0.00,230.80,230.80
"105",5.51,30.88,22.63,6.28,0.00,0.00,9.60,0.00,0.00,0.00,9.60,74.89,0.00,0.00,0.00,230.80,230.80
"106",5.04,30.97,31.68,6.38,0.97,0.00,0.00,0.00,0.00,0.00,0.00,75.05,0.00,0.00,0.00,230.80,230.80
"107",4.43,29.69,36.97,6.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.37,-2.12,0.00,0.00,197.33,197.33
"108",3.77,26.61,35.69,6.62,3.14,0.00,0.00,0.00,0.00,0.00,0.00,75.82,0.00,0.00,0.00,230.80,230.80
"109",3.46,23.57,29.30,6.33,0.00,0.00,14.94,0.00,0.00,0.00,14.94,77.60,0.00,0.00,0.00,230.80,230.80
