"hour","offshore","onshore","pv","river","lake","biogas","gas","nuclear","phs","battery","methanation","demand","Pump","ElecStr","CH4","elec_price","gas_price"
"0",11.31,61.19,0.00,5.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.57,0.00,0.00,-4.12,0.00,0.00
"1",11.50,63.13,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.65,-9.30,0.00,-4.12,0.00,0.00
"2",11.50,64.33,0.00,4.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.70,0.00,0.00,-4.12,0.00,0.00
"3",11.42,64.76,0.00,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.86,-9.30,0.00,-4.12,0.00,0.00
"4",11.14,64.42,0.00,4.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.18,-9.30,0.00,-4.12,0.00,0.00
"5",10.88,64.72,0.00,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.60,-9.30,0.00,-4.12,0.00,0.00
"6",10.73,64.92,0.00,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.07,0.00,0.00,-4.12,0.00,0.00
"7",10.57,65.09,0.40,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.08,-9.30,0.00,-4.12,0.00,0.00
"8",10.54,64.39,5.99,3.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.12,-9.30,0.00,-4.12,0.00,0.00
"9",10.40,61.49,15.52,3.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.42,-9.30,0.00,-4.12,0.00,0.00
"10",10.28,60.19,23.93,4.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.32,-9.30,-15.40,-4.12,0.00,0.00
"11",10.33,61.72,27.39,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.53,-9.30,-19.53,-4.12,0.00,0.00
"12",10.45,62.01,26.43,4.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.62,-9.30,-19.53,-4.12,0.00,0.00
"13",10.57,61.81,20.48,4.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.09,0.00,-19.53,-4.12,0.00,0.00
