"hour","offshore","onshore","pv","river","lake","biogas","gas","nuclear","phs","battery","methanation","demand","Pump","ElecStr","CH4","elec_price","gas_price"
"0",11.05,61.40,0.00,5.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.89,-9.30,0.00,-6.01,0.00,0.00
"1",11.24,63.35,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.09,-9.30,0.00,-6.01,0.00,0.00
"2",11.24,64.56,0.00,4.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.47,-9.30,0.00,-6.01,0.00,0.00
"3",11.16,64.99,0.00,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.35,-9.30,0.00,-6.01,0.00,0.00
"4",10.88,64.65,0.00,4.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.86,0.00,0.00,-6.01,0.00,0.00
"5",10.63,64.95,0.00,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.45,-9.30,0.00,-6.01,0.00,0.00
"6",10.48,65.15,0.00,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.37,-9.30,0.00,-6.01,0.00,0.00
"7",10.33,65.32,0.37,3.64,0.00,0.00,0.00,0.00,0.00,10.48,0.00,53.56,-9.30,-21.27,-6.01,0.00,0.00
"8",10.30,64.62,5.61,3.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.49,-9.30,0.00,-6.01,0.00,0.00
"9",10.17,61.70,14.54,3.86,0.00,0.00,0.00,0.00,0.00,7.71,0.00,53.17,-9.30,0.00,-6.01,0.00,0.00
"10",10.05,60.40,22.42,4.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.92,-9.30,0.00,-6.01,0.00,0.00
"11",10.10,61.94,25.66,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.61,-9.30,0.00,-6.01,0.00,0.00
"12",10.21,62.23,24.76,4.22,0.00,0.00,0.00,0.00,0.00,12.39,0.00,57.76,-9.30,-21.27,-6.01,0.00,0.00
"13",10.33,62.02,19.19,4.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.79,-7.76,-21.27,-6.01,0.00,0.00
"14",10.46,61.35,11.34,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.33,-1.46,-21.27,-6.01,0.00,0.00
"15",10.59,62.64,3.25,3.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.37,0.00,-17.87,-6.01,0.00,0.00
"16",10.70,63.65,0.00,3.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.65,-9.30,0.00,-6.01,0.00,0.00
"17",10.74,63.71,0.00,3.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.72,0.00,-15.39,-6.01,0.00,0.00
"18",10.68,62.74,0.00,4.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.81,0.00,-9.75,-6.01,0.00,0.00
"19",10.49,61.31,0.00,4.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.48,-6.23,0.00,-6.01,0.00,0.00
"20",10.28,58.94,0.00,5.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.69,-3.73,0.00,-6.01,0.00,0.00
"21",9.99,56.89,0.00,5.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.63,0.00,-2.40,-6.01,0.00,0.00
"22",9.61,55.25,0.00,5.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.05,0.00,-2.96,-6.01,0.00,0.00
"23",9.15,52.89,0.00,5.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.06,0.00,0.00,-4.01,48.62,48.62
"24",8.78,50.78,0.00,4.56,0.00,0.00,0.00,0.00,1.68,0.00,0.00,65.81,0.00,0.00,0.00,56.87,56.87
"25",8.50,49.46,0.00,3.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.36,-1.97,0.00,-2.41,48.62,48.62
"26",8.20,48.23,0.00,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.94,0.00,0.00,-1.76,48.62,48.62
"27",7.97,47.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.43,0.00,0.00,-1.57,48.62,48.62
"28",7.67,46.77,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.38,0.00,0.00,-3.06,48.62,48.62
"29",7.24,45.62,0.00,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.44,0.00,0.00,-1.47,48.62,48.62
"30",6.65,43.02,0.00,3.12,0.00,0.00,0.00,0.00,0.00,4.09,0.00,56.88,0.00,0.00,0.00,188.53,188.53
"31",5.95,39.86,0.96,3.26,0.00,0.00,0.00,0.00,0.00,10.70,0.00,60.74,0.00,0.00,0.00,188.53,188.53
"32",5.16,34.84,9.51,3.49,0.00,0.00,12.08,0.00,0.00,0.00,12.08,65.08,0.00,0.00,0.00,188.53,188.53
"33",4.03,28.98,20.04,4.03,0.00,0.00,10.01,0.00,0.00,0.00,10.01,67.09,0.00,0.00,0.00,188.53,188.53
"34",2.89,26.87,31.24,4.50,0.00,0.00,3.40,0.00,0.00,0.00,3.40,68.91,0.00,0.00,0.00,188.53,188.53
"35",2.13,27.37,38.05,4.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.78,0.00,-2.59,0.00,161.19,161.19
"36",1.68,27.59,39.28,5.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.76,0.00,-3.01,0.00,161.19,161.19
"37",1.57,27.90,34.15,5.10,0.00,0.00,2.79,0.00,0.00,0.00,2.79,71.51,0.00,0.00,0.00,188.53,188.53
"38",1.62,27.48,24.43,4.63,0.00,0.00,12.23,0.00,0.00,0.00,12.23,70.38,0.00,0.00,0.00,188.53,188.53
"39",1.75,29.34,8.25,4.16,0.00,0.00,24.85,0.00,0.00,0.00,24.85,68.36,0.00,0.00,0.00,188.53,188.53
"40",1.76,31.01,0.03,4.30,0.00,0.00,30.34,0.00,0.00,0.00,30.34,67.44,0.00,0.00,0.00,188.53,188.53
"41",1.56,29.66,0.00,4.74,1.24,0.00,31.02,0.00,0.00,0.00,31.02,68.21,0.00,0.00,0.00,188.53,188.53
"42",1.27,26.48,0.00,5.30,0.00,0.00,30.91,0.00,0.00,9.91,30.91,73.88,0.00,0.00,0.00,188.53,188.53
"43",1.02,23.06,0.00,5.78,0.00,31.02,31.02,0.00,0.00,15.29,0.00,76.17,0.00,0.00,0.00,188.53,188.53
"44",0.87,20.15,0.00,5.68,0.00,31.02,31.02,0.00,0.00,16.35,0.00,74.07,0.00,0.00,0.00,188.53,188.53
"45",0.71,18.22,0.00,5.35,6.07,31.02,31.02,0.00,9.30,0.00,0.00,70.67,0.00,0.00,0.00,188.53,188.53
"46",0.56,17.02,0.00,5.16,0.00,23.18,23.18,0.00,0.00,20.44,0.00,66.35,0.00,0.00,0.00,188.53,188.53
"47",0.48,16.71,0.00,5.06,5.33,31.02,31.02,0.00,9.30,0.00,0.00,67.90,0.00,0.00,0.00,188.53,188.53
